item;condition;connective
44;grammatical;ifnot
3;experimental;if
2;experimental;if
27;ungrammatical;ifnot
53;grammatical;unless
16;experimental;unless
40;grammatical;if
36;ungrammatical;unless
49;grammatical;unless
4;experimental;if
22;ungrammatical;if
35;ungrammatical;unless
34;ungrammatical;unless
9;experimental;ifnot
50;grammatical;unless
25;ungrammatical;ifnot
48;grammatical;ifnot
5;experimental;if
21;ungrammatical;if
11;experimental;ifnot
20;ungrammatical;if
52;grammatical;unless
7;experimental;ifnot
24;ungrammatical;if
37;grammatical;if
51;grammatical;unless
15;experimental;unless
30;ungrammatical;ifnot
10;experimental;ifnot
19;ungrammatical;if
13;experimental;unless
43;grammatical;ifnot
33;ungrammatical;unless
14;experimental;unless
8;experimental;ifnot
31;ungrammatical;unless
38;grammatical;if
17;experimental;unless
39;grammatical;if
47;grammatical;ifnot
42;grammatical;if
18;experimental;unless
46;grammatical;ifnot
28;ungrammatical;ifnot
1;experimental;if
23;ungrammatical;if
54;grammatical;unless
6;experimental;if
26;ungrammatical;ifnot
32;ungrammatical;unless
12;experimental;ifnot
29;ungrammatical;ifnot
41;grammatical;if
45;grammatical;ifnot
